PerNo,PerStatus,sex,だ摸,戮单,紅跋絏,恨瞶糷,戈菌1,戈菌2,戈菌3,戈菌4,戈菌5,盡计,盡羆计,讽玡盡à︹,疭盡ゑ,翴,癡絤计A,癡絤计B,癡絤计C,ネ玻羆肂,篴臕计,琌ど綞,ど綞硉,る叫安计A,叫安计A,る叫安计B,叫安计B,畉计A,畉计B,畉栋い,罿单A,罿单B,罿单C,闹糷,盉猵,戈糷A,戈糷B,戈糷C,ヴ戮玡キА计,拨穨╰摸,膊妮秖,硄对Θセ,耴妮场,PerStatus,sex,だ摸,戮单,紅跋絏,恨瞶糷,戈菌1,戈菌2,戈菌3,戈菌4,戈菌5,盡计,盡羆计,讽玡盡à︹,疭盡ゑ,翴,癡絤计A,癡絤计B,癡絤计C,ネ玻羆肂,篴臕计,琌ど綞,ど綞硉,る叫安计A,叫安计A,る叫安计B,叫安计B,畉计A,畉计B,畉栋い,罿单A,罿单B,罿单C,闹糷,盉猵,戈糷A,戈糷B,戈糷C,ヴ戮玡キА计,拨穨╰摸,膊妮秖,硄对Θセ,耴妮场,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B
1112.0,0.0,1.0,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,1.0,0.0,2.0,11.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,6.0,2.0,3.0,3.0,0.0,0.0,6.0,1.0,8.0,13151.0,0.0,1.0,1.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,2.0,6.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,10.0,1.0,5.0,6.0,2.0,3.0,3.0,0.0,0.0,6.0,1.0,8.0,19138.0,0,1,0,3,0,2,1,0,0,0,1,1,0,3,0,4,1,0,3,0,0,1,0,10,0,0,1,0,1,0,0,2,0,0,0,5,1,0,5,0
6220.0,0.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,2.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,5.0,5.0,6.0,0.0,0.0,3.0,0.0,3.0,10.0,8.0,5.0,12.0,1.0,6.0,5.0,1.0,1.0,8.0,2.0,9.0,8028.0,0.0,1.0,1.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,5.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,3.0,0.0,4.0,10.0,4.0,2.0,11.0,1.0,5.0,5.0,1.0,1.0,8.0,2.0,9.0,8028.0,2,2,0,3,0,0,3,0,1,0,1,2,0,2,0,3,3,0,4,0,2,2,0,6,0,1,3,0,2,0,2,2,0,7,0,4,4,0,2,0
44.0,0.0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,1.0,8.0,8.0,0.0,1.0,4.0,2.0,8.0,13147.0,0.0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,12.0,1.0,7.0,7.0,0.0,1.0,4.0,2.0,8.0,13147.0,13,0,0,3,0,14,0,0,2,0,13,0,0,5,0,14,0,0,9,0,0,0,0,5,0,0,0,0,1,0,13,0,0,1,0,14,0,0,4,0
7374.0,0.0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,12.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,8.0,13084.0,0.0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,10.0,6.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,7.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,8.0,13084.0,0,1,0,2,0,0,1,0,3,0,0,1,0,2,0,0,0,0,3,0,2,1,0,6,0,0,1,0,9,0,0,1,0,3,0,0,1,0,6,0
7150.0,0.0,1.0,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,4.0,6.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,3.0,7.0,0.0,0.0,3.0,0.0,3.0,6.0,1.0,4.0,11.0,1.0,6.0,3.0,4.0,3.0,3.0,3.0,8.0,13191.0,0.0,1.0,1.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,5.0,6.0,1.0,0.0,1.0,13.0,2.0,0.0,1.0,2.0,6.0,0.0,0.0,3.0,0.0,2.0,6.0,1.0,4.0,10.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,8.0,13191.0,0,2,0,3,0,0,4,0,2,0,0,2,0,3,0,0,3,0,3,0,0,3,0,2,0,0,4,0,4,0,0,3,0,7,0,0,4,0,4,0
7212.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,1.0,5.0,0.0,3.0,1.0,7.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,8.0,1.0,8.0,8012.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,8.0,1.0,8.0,8012.0,0,1,0,2,0,0,2,0,2,0,0,0,0,2,0,0,1,3,3,0,0,1,0,4,0,0,1,0,2,0,0,0,0,2,0,0,0,0,8,0
5260.0,0.0,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,5.0,0.0,4.0,7.0,8.0,5.0,12.0,1.0,7.0,5.0,2.0,1.0,3.0,1.0,8.0,13151.0,0.0,1.0,1.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,2.0,0.0,2.0,7.0,8.0,5.0,12.0,1.0,6.0,5.0,2.0,1.0,3.0,1.0,8.0,13151.0,0,6,0,3,0,1,10,0,0,0,0,5,0,4,0,0,3,0,1,0,0,1,0,6,0,0,2,0,7,0,0,2,0,4,0,0,5,0,4,0
4200.0,0.0,1.0,1.0,2.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,12.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,11.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,8.0,20089.0,0.0,1.0,1.0,2.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,4.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,5.0,10.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,8.0,20089.0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,0,0,1,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0
1025.0,0.0,1.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,25.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,2.0,12.0,1.0,6.0,2.0,6.0,3.0,6.0,1.0,8.0,14067.0,0.0,1.0,1.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,28.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,3.0,6.0,2.0,12.0,1.0,6.0,2.0,6.0,3.0,6.0,1.0,8.0,14067.0,0,1,0,3,0,0,2,0,5,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,3,0,0,1,0,1,0,0,1,0,11,0
5084.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,5.0,0.0,6.0,1.0,0.0,2.0,9.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,7.0,9.0,5.0,9.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,9.0,2149.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,6.0,1.0,1.0,6.0,1.0,0.0,4.0,11.0,3.0,0.0,2.0,5.0,5.0,0.0,0.0,4.0,0.0,2.0,7.0,9.0,4.0,9.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,9.0,2058.0,0,4,0,3,0,0,2,0,2,0,0,3,0,1,0,0,3,0,1,0,0,4,0,3,0,0,5,0,1,0,0,4,0,3,0,0,6,0,9,0
5326.0,0.0,1.0,1.0,3.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,11.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,0.0,2.0,1.0,8.0,6.0,1.0,5.0,8.0,1.0,3.0,1.0,4.0,1.0,6.0,1.0,9.0,17047.0,0.0,1.0,1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,3.0,1.0,8.0,2.0,1.0,5.0,8.0,1.0,3.0,1.0,4.0,1.0,6.0,1.0,9.0,17047.0,1,3,0,1,0,1,2,0,1,0,0,3,1,1,0,0,3,0,3,0,0,2,0,3,0,1,3,0,2,0,0,3,1,5,0,0,4,0,4,0
1479.0,0.0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0,3.0,0.0,3.0,5.0,8.0,2.0,5.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,8.0,14105.0,0.0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,2.0,0.0,5.0,5.0,10.0,5.0,5.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,8.0,14105.0,0,2,0,2,0,0,3,0,1,0,0,3,0,4,0,0,3,0,10,0,0,2,0,2,0,0,2,0,1,0,1,3,0,1,0,0,2,0,5,0
4277.0,0.0,1.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,4.0,0.0,3.0,10.0,8.0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,9.0,0.0,6.0,8038.0,0.0,1.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,10.0,0.0,0.0,4.0,0.0,4.0,10.0,4.0,5.0,5.0,1.0,3.0,3.0,0.0,0.0,9.0,0.0,8.0,8038.0,3,4,0,4,0,4,3,0,15,0,4,6,0,3,0,10,5,0,0,0,0,3,0,1,0,0,3,0,5,0,0,7,0,4,0,0,6,0,7,0
7750.0,0.0,0.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,3.0,6.0,0.0,0.0,4.0,3.0,2.0,0.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,0.0,8.0,10011.0,0.0,0.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,0.0,8.0,10008.0,5,0,0,6,0,4,0,0,6,0,2,0,0,1,0,3,0,0,2,0,0,0,0,8,0,8,0,0,0,0,8,0,0,6,0,3,0,0,5,0
554.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,0.0,6.0,0.0,0.0,2.0,14.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,10.0,5.0,6.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,8.0,20089.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,3.0,0.0,2.0,2.0,4.0,5.0,6.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,8.0,20089.0,3,2,0,1,0,2,1,0,1,0,2,3,0,3,0,6,1,0,3,0,1,2,0,6,0,1,3,0,1,0,7,4,0,5,0,6,3,0,5,0
2424.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,8.0,1.0,0.0,9.0,3.0,5.0,0.0,0.0,1.0,0.0,2.0,6.0,6.0,5.0,13.0,1.0,7.0,7.0,1.0,1.0,3.0,1.0,8.0,14040.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,1.0,0.0,8.0,6.0,6.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,2.0,12.0,1.0,7.0,7.0,1.0,1.0,3.0,2.0,8.0,14040.0,0,1,0,2,0,0,1,0,1,0,0,1,0,2,0,1,1,0,3,0,0,1,0,2,0,0,1,0,1,0,0,1,0,4,0,0,1,0,10,0
4256.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,6.0,5.0,2.0,2.0,2.0,4.0,0.0,0.0,4.0,7.0,6.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,2.0,8.0,1.0,4.0,4.0,0.0,0.0,7.0,2.0,9.0,14077.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,14.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,5.0,0.0,4.0,1.0,7.0,2.0,7.0,1.0,4.0,4.0,0.0,0.0,7.0,2.0,9.0,14077.0,0,4,0,1,0,0,2,2,2,0,1,2,0,1,0,6,3,0,6,0,4,7,0,2,0,5,6,0,4,0,1,6,0,3,0,2,5,0,9,0
7526.0,0.0,0.0,1.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,23.0,4.0,1.0,1.0,6.0,3.0,4.0,2.0,7.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,6.0,1.0,5.0,11.0,1.0,7.0,6.0,2.0,1.0,1.0,1.0,8.0,2197.0,0.0,0.0,1.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,24.0,4.0,1.0,1.0,6.0,1.0,0.0,7.0,10.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,3.0,1.0,1.0,6.0,5.0,5.0,11.0,1.0,7.0,6.0,2.0,1.0,1.0,0.0,8.0,2197.0,0,3,0,2,0,0,2,0,4,0,0,2,2,3,0,0,3,0,2,0,0,3,0,1,0,0,3,0,1,0,0,3,1,2,0,0,3,1,4,0
