PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B
5230.0,0.0,1.0,1.0,2.0,19.0,6.0,0.0,1.0,1.0,0.0,1.0,23.0,3.0,1.0,7.0,6.0,0.0,0.0,1.0,22.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,8.0,19035.0,0.0,1.0,1.0,3.0,19.0,6.0,0.0,1.0,1.0,0.0,1.0,24.0,3.0,1.0,1.0,6.0,0.0,0.0,2.0,18.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,5.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,8.0,19035.0,0,1,0,2,0,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,3,0,0,1,3,1,0,0,0,0,2,0,0,1,1,4,0
4360.0,0.0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,12.0,1.0,0.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,8.0,13034.0,0.0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,10.0,1.0,5.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,8.0,13034.0,5,2,0,2,0,2,2,0,2,0,2,2,0,3,0,5,1,0,3,0,0,1,0,6,0,1,2,0,4,0,3,2,0,5,0,1,2,0,3,0
2145.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,2.0,1.0,6.0,0.0,0.0,3.0,7.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,5.0,1.0,4.0,2.0,1.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,8.0,4010.0,0.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,2.0,1.0,6.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,5.0,0.0,4.0,1.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,8.0,4010.0,3,6,1,3,0,0,7,0,0,0,1,5,1,4,0,0,5,0,2,0,0,5,0,7,0,0,6,0,1,0,0,6,0,6,0,0,6,0,3,0
23.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,14105.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,0.0,6.0,0.0,0.0,12.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,8.0,14105.0,1,2,0,3,0,2,2,0,7,0,0,2,0,5,0,0,2,0,6,0,0,1,0,1,0,0,0,0,3,0,0,1,0,2,0,0,1,0,4,0
1170.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,10.0,1.0,4.0,4.0,1.0,1.0,7.0,0.0,8.0,8126.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,4.0,2.0,10.0,1.0,4.0,4.0,1.0,1.0,7.0,0.0,8.0,8126.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,2,0,0,2,0,1,0,0,2,0,1,0,0,1,0,2,0
4884.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,6.0,0.0,8.0,20127.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,6.0,0.0,8.0,20019.0,0,0,0,8,0,0,0,0,6,0,0,0,0,6,0,2,1,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0
6255.0,0.0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,23.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,2.0,0.0,3.0,5.0,7.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,8.0,14067.0,0.0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,8.0,14067.0,0,1,0,1,0,0,1,0,3,0,0,1,0,0,0,0,3,0,4,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,2,0,7,0
7121.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,6.0,6.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,10.0,3.0,5.0,7.0,1.0,3.0,2.0,2.0,1.0,6.0,0.0,9.0,14067.0,0.0,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,4.0,5.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,8.0,10.0,0.0,0.0,1.0,0.0,1.0,10.0,4.0,3.0,6.0,1.0,3.0,2.0,2.0,1.0,6.0,0.0,9.0,16001.0,0,1,0,4,0,0,1,0,7,0,0,2,0,1,0,0,4,0,0,0,1,1,0,8,0,0,1,0,2,0,0,2,0,5,0,0,1,0,15,0
541.0,1.0,1.0,1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,1.0,6.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,3.0,2.0,2.0,10.0,1.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,9.0,1.0,8.0,17112.0,0.0,1.0,1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,1.0,5.0,5.0,1.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,9.0,1.0,8.0,17112.0,1,3,0,11,0,0,4,3,7,0,1,3,1,9,0,1,4,1,4,0,1,2,0,3,0,0,4,1,4,0,0,4,2,4,0,0,4,1,1,0
6883.0,0.0,1.0,1.0,2.0,19.0,4.0,0.0,1.0,0.0,1.0,0.0,23.0,5.0,1.0,2.0,6.0,1.0,2.0,2.0,13.0,2.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,5.0,10.0,1.0,5.0,3.0,4.0,2.0,8.0,1.0,8.0,19043.0,0.0,1.0,1.0,2.0,19.0,4.0,0.0,1.0,0.0,1.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,1.0,17.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,5.0,9.0,1.0,5.0,3.0,4.0,2.0,8.0,1.0,8.0,19043.0,0,1,1,0,0,0,1,1,2,0,0,2,0,7,0,0,1,0,7,0,0,0,0,1,0,0,1,0,1,0,0,1,0,4,0,0,1,0,4,0
3525.0,0.0,1.0,1.0,7.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,2.0,0.0,3.0,5.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,10.0,6.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,8.0,18025.0,0.0,1.0,1.0,7.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,4.0,5.0,1.0,6.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,4.0,7.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,8.0,20184.0,1,1,0,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,4,0,6,2,0,2,0,0,1,0,3,0,4,0,0,0,0,1,1,1,7,0
4223.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,6.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,8.0,20069.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,1.0,3.0,2.0,3.0,1.0,5.0,1.0,8.0,20069.0,0,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8727.0,0.0,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,1.0,1.0,1.0,13.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,9.0,1.0,5.0,5.0,0.0,0.0,8.0,0.0,8.0,8157.0,0.0,0.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,5.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,5.0,8.0,1.0,4.0,4.0,0.0,0.0,8.0,0.0,8.0,8157.0,0,0,0,2,0,0,0,1,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7,0,0,1,0,5,0
435.0,0.0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,8.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,5.0,0.0,4.0,5.0,9.0,2.0,5.0,2.0,3.0,3.0,0.0,1.0,3.0,0.0,8.0,14105.0,0.0,1.0,1.0,7.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,5.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,5.0,10.0,0.0,0.0,3.0,1.0,2.0,5.0,1.0,2.0,5.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,8.0,14105.0,0,5,0,4,0,1,5,0,4,0,5,6,0,3,0,4,6,0,6,0,1,3,0,5,0,1,3,0,4,0,3,4,3,3,0,0,4,0,5,0
8686.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,8.0,20184.0,0.0,1.0,1.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,10.0,0.0,5.0,5.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,8.0,6024.0,6,2,0,4,0,5,1,0,2,0,3,1,0,8,0,3,1,0,4,0,5,2,0,1,0,12,1,0,2,0,3,1,0,1,0,5,1,0,6,0
4442.0,0.0,1.0,1.0,3.0,19.0,6.0,0.0,0.0,0.0,1.0,1.0,22.0,4.0,1.0,2.0,6.0,0.0,0.0,4.0,33.0,5.0,0.0,1.0,3.0,8.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,0.0,0.0,8.0,2.0,8.0,19004.0,0.0,1.0,1.0,3.0,19.0,6.0,0.0,0.0,0.0,1.0,1.0,23.0,4.0,5.0,1.0,6.0,0.0,0.0,6.0,26.0,5.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,8.0,2.0,8.0,19166.0,0,3,2,4,0,0,3,0,4,0,0,3,1,2,0,0,4,0,3,0,0,2,0,6,0,0,3,0,3,0,0,2,0,6,0,0,4,1,2,0
7456.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,0.0,6.0,2.0,0.0,1.0,14.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,8.0,8157.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,8.0,8157.0,0,1,0,4,0,0,2,0,2,0,0,1,0,4,0,0,1,0,8,0,0,0,0,4,0,0,1,0,2,0,0,1,0,3,0,0,1,0,2,0
2228.0,0.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,9.0,2.0,8.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,8.0,2197.0,0.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,5.0,7.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,8.0,2197.0,0,0,0,4,0,0,0,0,3,0,0,1,0,4,0,0,1,0,7,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,4,0
