PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門
23.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,14105.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,0.0,6.0,0.0,0.0,12.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,8.0,14105.0
23.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,4.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,14105.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,14105.0
24.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,14.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,10.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0
24.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0
26.0,0.0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,0.0,6.0,0.0,0.0,1.0,25.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,4.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,9.0,13151.0,0.0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,13.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,9.0,13151.0
26.0,0.0,1.0,1.0,4.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,4.0,6.0,0.0,0.0,3.0,31.0,1.0,0.0,2.0,5.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,7.0,1.0,3.0,2.0,3.0,2.0,5.0,1.0,9.0,13151.0,0.0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,0.0,6.0,0.0,0.0,1.0,25.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,4.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,9.0,13151.0
31.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,0.0,6.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,10.0,9.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,8.0,20184.0,0.0,1.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,8.0,6024.0
31.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,8.0,20184.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,0.0,6.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,10.0,9.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,8.0,20184.0
35.0,0.0,1.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,2.0,6.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,5.0,10.0,1.0,6.0,6.0,0.0,0.0,3.0,2.0,7.0,8126.0,0.0,1.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,5.0,5.0,2.0,6.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,1.0,6.0,1.0,5.0,10.0,1.0,5.0,5.0,0.0,0.0,3.0,2.0,7.0,8126.0
35.0,0.0,1.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,5.0,1.0,1.0,6.0,0.0,2.0,1.0,6.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,4.0,10.0,1.0,6.0,6.0,0.0,0.0,3.0,2.0,7.0,8126.0,0.0,1.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,2.0,6.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,5.0,10.0,1.0,6.0,6.0,0.0,0.0,3.0,2.0,7.0,8126.0
40.0,0.0,1.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,6.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,2.0,8.0,8145.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,8.0,8145.0
40.0,0.0,1.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,5.0,3.0,5.0,0.0,1.0,1.0,6.0,0.0,0.0,3.0,4.0,8.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,2.0,8.0,8145.0,0.0,1.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,6.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,2.0,8.0,8145.0
45.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,10.0,1.0,5.0,5.0,2.0,3.0,3.0,0.0,0.0,7.0,1.0,8.0,14077.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,0.0,3.0,10.0,8.0,4.0,5.0,2.0,3.0,3.0,0.0,0.0,7.0,0.0,8.0,14077.0
45.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,4.0,0.0,14.0,10.0,1.0,5.0,6.0,2.0,3.0,3.0,0.0,0.0,7.0,0.0,8.0,14077.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,10.0,1.0,5.0,5.0,2.0,3.0,3.0,0.0,0.0,7.0,1.0,8.0,14077.0
55.0,0.0,1.0,1.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,5.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,1.0,9.0,16121.0,0.0,1.0,1.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,4.0,11.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,9.0,16070.0
55.0,0.0,1.0,1.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,1.0,9.0,16121.0,0.0,1.0,1.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,5.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,1.0,9.0,16121.0
56.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,2.0,9.0,1.0,5.0,4.0,2.0,1.0,9.0,0.0,8.0,2180.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,8.0,1.0,5.0,4.0,2.0,1.0,9.0,0.0,8.0,2180.0
56.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,2.0,9.0,1.0,5.0,4.0,2.0,1.0,9.0,0.0,8.0,2180.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,2.0,9.0,1.0,5.0,4.0,2.0,1.0,9.0,0.0,8.0,2180.0
57.0,0.0,1.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,5.0,2.0,0.0,1.0,33.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,2.0,11.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,8.0,16001.0,0.0,1.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,5.0,5.0,6.0,0.0,3.0,27.0,1.0,0.0,3.0,6.0,6.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,2.0,11.0,1.0,4.0,2.0,4.0,1.0,1.0,2.0,8.0,16001.0
57.0,0.0,1.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,2.0,5.0,1.0,0.0,2.0,33.0,1.0,0.0,4.0,5.0,6.0,0.0,0.0,1.0,0.0,3.0,4.0,6.0,2.0,11.0,1.0,5.0,3.0,4.0,1.0,1.0,2.0,8.0,16001.0,0.0,1.0,1.0,2.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,5.0,2.0,0.0,1.0,33.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,2.0,11.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,8.0,16001.0
59.0,0.0,1.0,1.0,4.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,17.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,2.0,1.0,4.0,10.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,11.0,11182.0,0.0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,2.0,0.0,9.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,11.0,13065.0
59.0,0.0,1.0,1.0,4.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,13.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,3.0,0.0,6.0,10.0,1.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,11.0,11182.0,0.0,1.0,1.0,4.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,17.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,2.0,1.0,4.0,10.0,1.0,4.0,5.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,11.0,11182.0
62.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,4.0,7.0,2.0,2.0,2.0,2.0,1.0,8.0,1.0,8.0,8157.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,5.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,4.0,6.0,2.0,2.0,1.0,2.0,1.0,8.0,1.0,8.0,8157.0
62.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,2.0,10.0,2.0,7.0,2.0,3.0,2.0,2.0,1.0,8.0,1.0,8.0,8157.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,4.0,7.0,2.0,2.0,2.0,2.0,1.0,8.0,1.0,8.0,8157.0
65.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,3.0,5.0,1.0,0.0,1.0,13.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,5.0,7.0,1.0,3.0,3.0,0.0,0.0,8.0,1.0,8.0,8194.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,5.0,3.0,0.0,10.0,12.0,0.0,1.0,1.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0,7.0,1.0,2.0,2.0,0.0,0.0,8.0,1.0,8.0,8194.0
65.0,0.0,1.0,1.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,5.0,5.0,1.0,0.0,3.0,13.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,1.0,6.0,4.0,5.0,8.0,1.0,3.0,3.0,0.0,0.0,8.0,2.0,8.0,8194.0,0.0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,3.0,5.0,1.0,0.0,1.0,13.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,5.0,7.0,1.0,3.0,3.0,0.0,0.0,8.0,1.0,8.0,8194.0
