,yyyy,PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門
20,2016,14,1,1.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,8.0,4045.0
21,2017,15,0,0.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,5.0,3.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,9.0,1.0,3.0,1.0,4.0,2.0,8.0,2.0,9.0,2177.0
22,2017,16,0,0.0,1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,6.0,1.0,0.0,4.0,5.0,0.0,1.0,1.0,2.0,9.0,1.0,1.0,3.0,0.0,9.0,10.0,1.0,5.0,6.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,8.0,17041.0
23,2014,18,0,1.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,10.0,1.0,6.0,3.0,5.0,0.0,1.0,1.0,9.0,16070.0
24,2015,18,0,1.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,11.0,1.0,6.0,3.0,5.0,0.0,1.0,1.0,9.0,16070.0
25,2016,18,0,1.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,11.0,1.0,6.0,3.0,5.0,0.0,1.0,1.0,9.0,16070.0
26,2017,18,0,1.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,11.0,1.0,6.0,3.0,5.0,0.0,1.0,1.0,9.0,16070.0
27,2014,19,0,0.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,2.0,0.0,2.0,5.0,8.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,7.0,0.0,8.0,13147.0
28,2015,19,0,0.0,1.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,0.0,8.0,13147.0
29,2016,19,0,0.0,1.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,6.0,7.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,7.0,0.0,8.0,13147.0
30,2017,19,0,0.0,1.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,2.0,0.0,3.0,10.0,8.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,7.0,1.0,8.0,13147.0
31,2014,22,0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0,2.0,9.0,1.0,6.0,4.0,3.0,0.0,3.0,0.0,8.0,8126.0
32,2015,22,0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,9.0,1.0,6.0,5.0,3.0,0.0,3.0,0.0,8.0,8126.0
33,2016,22,0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,10.0,1.0,6.0,5.0,3.0,0.0,3.0,0.0,8.0,8126.0
34,2017,22,0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,2.0,10.0,1.0,6.0,5.0,3.0,0.0,3.0,0.0,8.0,8126.0
35,2014,23,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,0.0,6.0,0.0,0.0,12.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,8.0,14105.0
36,2015,23,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,6.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,7.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,14105.0
37,2016,23,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,4.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,14105.0
38,2017,23,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,5.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0,2.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,14105.0
39,2014,24,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,14.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,10.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0
40,2015,24,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,1.0,6.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0
41,2016,24,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0
42,2017,24,0,1.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,5.0,11.0,1.0,6.0,6.0,0.0,0.0,8.0,2.0,8.0,8038.0
43,2014,26,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,1.0,6.0,0.0,0.0,1.0,13.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,9.0,13151.0
44,2015,26,0,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,0.0,6.0,0.0,0.0,1.0,25.0,1.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,4.0,6.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,9.0,13151.0
45,2016,26,0,1.0,1.0,4.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,5.0,4.0,6.0,0.0,0.0,3.0,31.0,1.0,0.0,2.0,5.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,7.0,1.0,3.0,2.0,3.0,2.0,5.0,1.0,9.0,13151.0
46,2017,26,0,1.0,1.0,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,2.0,6.0,0.0,0.0,2.0,25.0,2.0,1.0,1.0,2.0,7.0,0.0,0.0,3.0,0.0,2.0,2.0,1.0,5.0,7.0,1.0,3.0,2.0,3.0,2.0,5.0,2.0,9.0,13151.0
47,2014,27,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,21.0,1.0,0.0,5.0,3.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,2.0,13.0,1.0,7.0,7.0,1.0,1.0,3.0,1.0,8.0,14040.0
48,2014,28,1,1.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,5.0,0.0,8.0,6167.0
49,2014,31,0,1.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,8.0,6024.0
50,2015,31,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,0.0,6.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,10.0,9.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,8.0,20184.0
51,2016,31,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,8.0,20184.0
52,2017,31,0,1.0,1.0,4.0,20.0,4.0,0.0,0.0,0.0,0.0,1.0,22.0,3.0,5.0,1.0,6.0,0.0,0.0,3.0,10.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,8.0,20184.0
53,2014,35,0,1.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,5.0,5.0,2.0,6.0,0.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,3.0,1.0,1.0,6.0,1.0,5.0,10.0,1.0,5.0,5.0,0.0,0.0,3.0,2.0,7.0,8126.0
54,2015,35,0,1.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,2.0,6.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,5.0,10.0,1.0,6.0,6.0,0.0,0.0,3.0,2.0,7.0,8126.0
55,2016,35,0,1.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,5.0,1.0,1.0,6.0,0.0,2.0,1.0,6.0,0.0,1.0,1.0,5.0,6.0,0.0,0.0,3.0,1.0,2.0,7.0,1.0,4.0,10.0,1.0,6.0,6.0,0.0,0.0,3.0,2.0,7.0,8126.0
56,2017,35,0,1.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,23.0,4.0,1.0,0.0,6.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,4.0,6.0,0.0,0.0,4.0,1.0,6.0,4.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,3.0,2.0,7.0,8126.0
57,2014,39,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,7.0,2.0,6.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,2.0,12.0,1.0,7.0,6.0,1.0,1.0,5.0,3.0,8.0,20062.0
58,2015,39,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,6.0,0.0,0.0,3.0,0.0,2.0,4.0,6.0,2.0,12.0,1.0,7.0,7.0,1.0,1.0,5.0,3.0,8.0,20082.0
59,2016,39,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,2.0,12.0,1.0,7.0,7.0,1.0,1.0,5.0,2.0,8.0,20082.0
60,2017,39,0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,2.0,13.0,1.0,7.0,7.0,1.0,1.0,5.0,2.0,8.0,20082.0
61,2014,40,0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,0.0,5.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,4.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,8.0,8145.0
62,2015,40,0,1.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,6.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,2.0,8.0,8145.0
63,2016,40,0,1.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,5.0,3.0,5.0,0.0,1.0,1.0,6.0,0.0,0.0,3.0,4.0,8.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,5.0,6.0,1.0,2.0,2.0,1.0,1.0,8.0,2.0,8.0,8145.0
64,2017,40,0,1.0,1.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0,1.0,5.0,0.0,0.0,1.0,7.0,1.0,0.0,3.0,3.0,8.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,5.0,7.0,1.0,3.0,2.0,1.0,1.0,8.0,2.0,8.0,8145.0
65,2015,42,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,2.0,2.0,0.0,1.0,19.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,7.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,8.0,14053.0
66,2016,42,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,13.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,10.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,8.0,14053.0
67,2017,42,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,8.0,0.0,2.0,4.0,11.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,1.0,1.0,3.0,1.0,9.0,5.0,5.0,1.0,2.0,2.0,0.0,0.0,8.0,0.0,8.0,14160.0
68,2014,44,0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,4.0,12.0,1.0,7.0,7.0,0.0,1.0,4.0,2.0,8.0,13147.0
69,2015,44,0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,12.0,1.0,8.0,8.0,0.0,1.0,4.0,2.0,8.0,13147.0
70,2016,44,0,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,15.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,13.0,1.0,8.0,8.0,0.0,1.0,4.0,1.0,8.0,13147.0
71,2014,45,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,1.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,4.0,0.0,3.0,10.0,8.0,4.0,5.0,2.0,3.0,3.0,0.0,0.0,7.0,0.0,8.0,14077.0
72,2015,45,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,2.0,6.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,4.0,0.0,5.0,10.0,1.0,5.0,5.0,2.0,3.0,3.0,0.0,0.0,7.0,1.0,8.0,14077.0
73,2016,45,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,4.0,0.0,14.0,10.0,1.0,5.0,6.0,2.0,3.0,3.0,0.0,0.0,7.0,0.0,8.0,14077.0
74,2017,45,0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,4.0,0.0,7.0,10.0,10.0,2.0,6.0,2.0,3.0,3.0,0.0,0.0,7.0,0.0,8.0,14077.0
